FACULTY             ,SUBJECT DESCRIPTION,SUBJECT CODE,NO,QUESTION,LEVEL,BT LEVEL,BT KEYWORDS
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,404,"Using the process approach in writing composition, describe the activities you would 
carry out to write a composition entitled 'A visit to a zoo in a Form 1 class. ",LOTS,COMPREHENSION,Describe
FSC,ENVIRONMENTAL MICROBIOLOGY ,UDBM3224,1142,Describe the formation of an aquatic dead zone. ,LOTS,COMPREHENSION,Describe
FSC,GENOMICS AND BIOINFORMATICS ,UDBB3214,1085,Discuss the significance of human genome project. ,LOTS,COMPREHENSION,Discuss
FSC,SOIL SCIENCE ,UDAA2134,1066,Describe how pore size can affect water retention in soil. ,LOTS,COMPREHENSION,Describe
FEGT,BUILDING TECHNOLOGY I ,UGBA1423 ,782,Describe the components in the Mechanical and electrical System used in buildings.,LOTS,COMPREHENSION,Describe
FSC,ENZYMOLOGY I ,UDEE2134,910,Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. Describe some potential complications during Edman degradation protein sequencing. ,LOTS,COMPREHENSION,"Draw, Describe"
FSC,ENZYMOLOGY I ,UDEE2134,909,Draw a table indicating purification fold and yield at each step. ,LOTS,COMPREHENSION,Draw
FEGT,INVENTORY CONTROL ANALYSIS AND MODELING ,UGIA3063 ,731,Describe the three (3) ways in which JIT and quality are related. ,LOTS,COMPREHENSION,Describe
FBF,CORPORATE GOVERNANCE,UBML3033,197,Independent Non-Executive Directors (INEDs) play crucial roles in the  assurance of effective corporate governance of public listed companies. Provide an assessment on the contributions of INEDs in promoting effective corporate governance. ,LOTS,COMPREHENSION,Provide
FBF,ELECTRONIC MARKETING,UBTM3123,227,"Discuss the level of trust consumers place in digital media, and how that trust helps or hinders e-marketers. ",LOTS,COMPREHENSION,Discuss
FSC,ENVIRONMENTAL MICROBIOLOGY ,UDBM3224,1136,Describe the major functions or roles of soil microbes that beneficially impact human health and welfare. ,LOTS,COMPREHENSION,Describe
FEGT,CONSTRUCTION MATERIALS ,UGBA1113  ,750,Steel is the most widely used reinforcing materials in concrete structure. Briefly explain the general properties of steel. ,LOTS,COMPREHENSION,Explain
FEGT,BUILDING TECHNOLOGY III,UGBA2124 ,890,Discuss FIVE (5) advantages of IBS compared to conventional in situ concrete. ,LOTS,COMPREHENSION,Discuss
FSC,WEED SCIENCE ,UDAA3243,993,State the objective of proactive resistance management and briefly describe THREE methods of this management. ,LOTS,COMPREHENSION,"State, Describe"
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,13,Various policies were implemented by the governments in order to mitigate the concerns over efficient losses arising from natural monopoly. Describe natural monopoly and provide ONE (1) example of natural monopoly.,LOTS,COMPREHENSION,"Describe, Provide"
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,171,Explain why contango and backwardation happen in the commodity market. ,LOTS,COMPREHENSION,Explain
FSC,COLLOID AND SURFACE CHEMISTRY ,UDEC2214,1148,The oscillating jet method is commonly used to study the surface/interfacial tensions. Give another THREE methods that are used to measure surface/interfacial tension. ,LOTS,COMPREHENSION,Give
FEGT,SOLID STATE ELECTRONICS ,UGEA3343 ,683,Draw the energy band diagram of the doped semiconductor at 300 K. ,LOTS,COMPREHENSION,Draw
FSC,ENZYMOLOGY I ,UDEE2134,920,"Oxygen is effectively transported by hemoglobin, regulated by some allosteric effectors in human blood. Name these allosteric effectors and discuss how their presence increases effective delivery of oxygen to tissues.",LOTS,COMPREHENSION,"Name, Discuss"
FEGT,BUILDING TECHNOLOGY IV ,UGBA3123 ,668,Describe the 'Qlassic Assessment' principles on how to perform the evaluation. ,LOTS,COMPREHENSION,Describe
FEGT,BUILDING TECHNOLOGY IV ,UGBA3123 ,655,Describe the basic Qlassic inspection tools used and how they are used to detect the various types of defects for their assessment of quality.,LOTS,COMPREHENSION,Describe
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,442,Reason why hunger cannot be simplified as yet another homeostatic process. Provide TWO (2) points. ,LOTS,COMPREHENSION,"Reason, Provide"
FBF,ACCOUNTING INFORMATION SYSTEMS,UBAI2023,270,Define and contrast digital certificate and digital signature. ,LOTS,COMPREHENSION,"Define, Contrast "
FSC,SOIL SCIENCE ,UDAA2134,1062,"Discuss why physical weathering is more prevalent in dry, cool regions while chemical weathering is more prevalent in wet, hot regions. ",LOTS,COMPREHENSION,Discuss
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,88,Define terms of trade and identify which country has an absolute advantage in the production of jade and diamond. ,LOTS,COMPREHENSION,"Define, Identify"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,87,Explain how human capital can lead to economic growth. ,LOTS,COMPREHENSION,Explain
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,143,Explain Eurocurrency and its market. ,LOTS,COMPREHENSION,Explain
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,6,Evaluate why a monopolist holds more undesirable characteristics in comparison to a perfect competitor. Give evidence from the graph to support your answer.,HOS,EVALUATION,"Evaluate, Give"
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,7,"Using Marginal approach, explain and identify how many unit of CD players should the firm producer per day if its goal is to maximize its profit.",MOTS,APPLICATION,"Explain, Identify"
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,8,"As opposed other curves, justify with explanation why Average Fixed Costs
	(AFC) is negatively sloped.",HOS,EVALUATION,Justify
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,11,Assuming that this monopolist is regulated to produce at that quantity where price equals average total cost. Calculate and find out what is the quantity the monopolist will produce and the price it will charge given this regulatory scenario.,MOTS,APPLICATION,"Calculate, Find"
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,12,Identify THREE (3) types of imperfectly competitive firms and construct THREE (3) important characteristics of these imperfectly competitive firms.,MOTS,APPLICATION,"Identify, Construct"
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,14,Describe Prisoner Dilemma in the context of game theory.,LOTS,KNOWLEDGE,Describe
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,23,"Jason spends all his income on meat and bread. Assume bread as a giffen good, draw Jason's price consumption curve and demand curve for bread when the price of bread falls. Support your answer with explanation for 3 consumption bundles. ",MOTS,APPLICATION,"Draw, Support"
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,27,"""Economists state that both allocative and productive efficiencies are realized in the long-run equilibrium of a monopolistically competitive market"". State whether you agree or disagree with the statement. Graphically illustrate and explain the statement. ",MOTS,ANALYSIS,"State, Illustrate,  Explain "
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,28,Determine the equilibrium price and quantity.,MOTS,APPLICATION,Determine
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,29,Determine the amount of shortage or surplus if government decides to impose the price at RM1.50/kg. Support your answer with numerical explanations. ,MOTS,APPLICATION,"Determine, Support"
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,30,"Suppose milk and yogurt are within Sophie's budget and she views yogurt as an inferior good. Using indifference curve and budget line, explain the substitution, income and total effects when the price of yogurt falls. ",MOTS,APPLICATION,Explain
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,32,"Justify the following statement. ""It is possible for a firm to experience diminishing marginal return and diseconomies of scale at the same time”. ",HOS,EVALUATION,Justify
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,34,The news reported that the chicken consumption in Malaysia has fallen by 17.25 percent. Use firm and industry diagrams to explain the short run and long run effects. ,MOTS,APPLICATION,"Use, Explain"
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,36,"A manager of a small company makes the following statement - ""We need to keep hiring additional workers up to the point where the marginal productivity of the last worker we hire is at its maximum. This way we can maximize the total productivity of the firm.""  Critically evaluate this statement. ",HOS,EVALUATION,Evaluate
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,39,"Suppose firms in industry Y are having an increase in demand. By using appropriate diagrams, explain the effect of an increase in demand and how industry Y achieves the long-run equilibrium in perfect competition. ",MOTS,ANALYSIS,Explain
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,40,Sketch a graph that associates with a monopoly. Find the profit-maximizing level of output and label it as q*. Find the price that firm should charge and label it as P*. Explain how the profit-maximizing output and price the firm should charge are determined. Explain what the firm should do if marginal revenue is higher than marginal cost. ,MOTS,ANALYSIS,"Sketch, Find, Find, Explain, Explain"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,43,Compute the value of the government multiplier and tax multiplier in an open economy. ,MOTS,APPLICATION,Compute
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,44,"Using the multiplier approach, suppose government increases spending to 2200 and decreases tax by 500, calculate the new equilibrium output level and the new balance of trade.",MOTS,APPLICATION,Calculate
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,45,Suppose that Japan and South Korea are trading partners. The exchange rate of Yen for South Korean Won (KRW) is floating freely. Japanese had reduced their imports from South Korea due to lack of demand for Korean products. Explain what will happen to Yen by using an appropriate diagram. Give five reasons why demand for a foreign currency may increase. ,MOTS,ANALYSIS,"Explain, Give"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,46,Determine which country enjoys comparative advantage in the production of cotton and silk respectively. Support your answer by calculating the opportunity costs of each. ,MOTS,APPLICATION,"Determine, Support"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,48,"Inflation is one of the major concerns of all countries in the world. Discuss how the Bank Negara Malaysia (BNM) would fight against inflation problem and by using appropriate diagrams, show how the BNM actions affect the investment level and equilibrium output level. ",MOTS,APPLICATION,"Discuss, Show"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,49,Explain  the effect of a cut in taxes of $100 billion on the economy if the marginal propensity to consume were 0.9. Explain why this policy is much different from simply having the government initiate a $100 billion spending program. Support your answer with specific calculations. ,MOTS,ANALYSIS,"Explain, Explain, Support"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,51,Explain why the effectiveness of an expansionary monetary policy in increasing aggregate output is partially dependent on the interest sensitivity of the demand for money. ,MOTS,ANALYSIS,Explain
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,52,Calculate the equilibrium level of income for Cambodia. ,MOTS,APPLICATION,Calculate
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,53,Calculate the balance of trade when the economy is at equilibrium and interpret your answer. ,MOTS,APPLICATION,Calculate
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,54,Calculate the level of output needed to be achieved by Cambodia in order to maintain a balanced trade account.,MOTS,APPLICATION,Calculate
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,55,Determine the values of Cambodia's government spending multiplier in closed and open economy. Explain which multiplier has the greater impact on the Cambodia economy. ,MOTS,APPLICATION,"Determine, Explain"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,58,"Assume that Saudi Arabia is currently operating at the natural level of output. However, due to the political uncertainty it leads to an increase in oil price. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Saudi Arabia by using appropriate diagrams. Besides, suggest the policy that can be implemented by Saudi Arabia in order to achieve long run equilibrium after the event. ",HOS,SYNTHESIS,"Discuss, Suggest"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,61,"In order to achieve high economy growth the government can implement expansionary fiscal policy, however, the effect of an increase in government spending can be taken aback by crowding out effect. Recommend and graphically explain the action that can be taken by Bank Negara Malaysia (BNM) to avoid this problem.",HOS,SYNTHESIS,"Recommend, Explain"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,62,Money growth is always interrelated with inflation phenomenon. Explain how the growth of money will affect the economy when the economy is operating at the full capacity. Illustrate by using an appropriate diagram.,MOTS,ANALYSIS,"Explain, Illustrate"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,64,Identify which country has an absolute advantage in the production of sugar cane and blue agave.,LOTS,KNOWLEDGE,Identify
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,65,Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of sugar cane and blue agave. ,MOTS,APPLICATION,"Determine, Explain"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,68,"Output and capital are increasing more rapidly than labour in the pharmaceutical industry. However, labour is increasing faster than capital and output in the agriculture industry. Evaluate the different in the output growth and productivity between these two industries.",HOS,EVALUATION,Evaluate
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,70,"Japan is operating above the potential output level. As a committee member of central bank, suggest a policy that should be implemented in order to restore Japan's potential output level. Using appropriate diagram(s), explain the effect of the policy on price and unemployment level in short run and long run. ",HOS,SYNTHESIS,"Suggest, Explain"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,74,Calculate the equilibrium level of output for four sectors economy with taxes. ,MOTS,APPLICATION,Calculate
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,75,Calculate the balance of trade when the economy is at equilibrium. ,MOTS,APPLICATION,Calculate
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,76,"Using the open economy multiplier approach, calculate the new equilibrium output level and new balance of trade if the government decreases spending to RM 1200 million and increases tax by RM 300 million. ",MOTS,APPLICATION,Calculate
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,77,Describe the economic growth and FOUR (4) sources of economic growth. ,LOTS,KNOWLEDGE,Describe
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,78,The unemployment problem can be overcome by increasing the aggregate output in a country. Explain THREE (3) multiplier concepts that can be applied in this problem. ,MOTS,APPLICATION,Explain
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,79,Calculate the equilibrium level of income for this economy. ,MOTS,APPLICATION,Calculate
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,80,Calculate the balance of trade when the economy is at equilibrium and interpret the answer. ,MOTS,APPLICATION,"Calculate, Interpret"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,81,Calculate the level of output Japan needs to achieve in order to maintain a balanced trade account. ,MOTS,APPLICATION,Calculate
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,82,Determine the values of government multiplier and tax multiplier in open economy for Japan. Explain which multiplier has greater impact on the economy. ,MOTS,APPLICATION,"Determine, Explain"
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,86,"Explain how currency depreciation will affect export, import and the balance of trade of the country. ",MOTS,ANALYSIS,Explain
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,89,Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of jade and diamond. ,MOTS,APPLICATION,"Determine, Explain "
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,93,"A banker's acceptance (BA) is a promised future payment, or time draft, which is accepted and guaranteed by a bank and drawn on a deposit at the bank. The BA specifies the amount of money, the date, and the person to whom the payment is due. Draw and explain the sequence of a banker's acceptance transaction. ",MOTS,APPLICATION,"Draw,  Explain "
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,94,Describe THREE (3) advantages of the banker's acceptance towards either exporter or importer. ,LOTS,KNOWLEDGE,Describe
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,96,List FIVE (5) differences between forward and future market. ,LOTS,KNOWLEDGE,List
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,97,List and briefly describe FOUR (4) types of secondary equity markets. ,LOTS,KNOWLEDGE,"List, Describe"
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,103,List FIVE (5) major business activities of investment banks. ,LOTS,KNOWLEDGE,List
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,104,"Municipal bonds are securities issued by local, county and state government. Identify THREE (3) types of Municipal Bonds that available in the market. ",LOTS,KNOWLEDGE,Identify
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,105,Differentiate between repurchase agreement (repo) and reverse repurchase agreement. ,MOTS,ANALYSIS,Differentiate
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,107,"A five-year, RM1,000 par value bond with a 6 percent semi-annual coupon is trading at current yield of 4 percent. Compute the duration of the bond. ",MOTS,APPLICATION,Compute
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,108,"Based on your knowledge, describe TWO (2) foreign bonds that are well known in the market. ",LOTS,KNOWLEDGE,Describe
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,109,Analyze THREE (3) factors that can affect the option premium. ,MOTS,ANALYSIS,Analyze
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,111,Describe THREE (3) deposit liabilities for commercial banks. ,LOTS,KNOWLEDGE,Describe
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,113,The Glass-Steagall Act of 1933 (Banking Act) restricted the asset powers of commercial banks in US to low-risk underwriting areas. List FOUR (4) requirements under Glass-Steagall Act of 1933.,LOTS,KNOWLEDGE,List
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,116,Illustrate the effect of an expansionary monetary policy. Justify your answer with an appropriate diagram. ,HOS,EVALUATION,"Illustrate, Justify"
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,119,"Compute the duration for a five-year bond, RM1,000 par value bond with a 7 percent annual coupon which is trading at yield to maturity of 5 percent. ",MOTS,APPLICATION,Compute
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,124,"If the value of the bond is RM900 and coupon are paid semi-annually, compute the yield to maturity (YTM) and the current yield of the bond. Interpret your answers. ",MOTS,APPLICATION,"Compute, Interpret"
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,126,"Differentiate bonds that are traded at par, premium and discount.",MOTS,ANALYSIS,Differentiate
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,128,Vince longs a put option on Junebank's stock with a strike price at RM13. Currently Junebank's stock is priced at RM15 and the option premium is RM1.50. Advise Vince whether or not to exercise the option. Justify your answer. ,HOS,EVALUATION,"Advise, Justify"
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,129,"""The monetary policy is always useful in stimulating the economic growth by increasing the money supply in the market."" Comment on this statement. Support your answer with an appropriate diagram. ",HOS,EVALUATION,Support
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,130,“China has been practicing low exchange rate for previous decades.” Clarify the pros and cons under this practice. ,MOTS,ANALYSIS,Clarify
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,132,Differentiate between commercial letter of credit and standby letter of credit. ,MOTS,ANALYSIS,Differentiate
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,139,Suggest and explain TWO (2) ways to measure a bank's profitability. ,HOS,SYNTHESIS,"Suggest, Explain "
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,140,"""An increase in the money supply will lead to an increase in the market equilibrium interest rate.” Comment and justify the above statement with an appropriate diagram. ",HOS,EVALUATION,"Comment, Justify "
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,141,Differentiate primary and secondary reserves of a bank. List THREE (3) examples for each reserve. ,MOTS,ANALYSIS,"Differentiate, List"
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,142,“The US dollar hit its highest levels in years shortly after Donald Trump won the presidential election in November 2016.” The statement above refers to the strong dollar scenario. Explain the pros and cons under this scenario. ,MOTS,ANALYSIS,Explain
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,147,"Justify the following statement: “The value of a putable bond is never greater than the value of an otherwise comparable option-free bond.""",HOS,EVALUATION,Justify
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,148,"Define and discuss the Sharpe, Treynor, and Jensen measures of portfolio performance evaluation by identifying the situations in which each measure is the most appropriate measure. ",MOTS,APPLICATION,"Define, Discuss"
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,150,"The correlation between the S&P 500 index fund and the emerging market fund is zero. Consider portfolio A, which consists of 80% of the S&P index fund and 20% of the emerging-market fund. Calculate portfolio A's expected return and standard deviation. ",MOTS,APPLICATION,Calculate
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,153,Consider a zero coupon bond with a par value of $1000 that has a current price of $436.19 and matures in 10 years. Compute its yield to maturity. ,MOTS,APPLICATION,Compute
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,154,"Calculate Sharpe's measure for the AOV Portfolio and the market. Compare the TWO (2) measures, and assess the performance of the AOV's portfolio during the year just ended. ",MOTS,APPLICATION,"Calculate, Compare, Assess"
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,155,"Calculate Treynor's measure for AOV's Portfolio and the market. Compare the TWO (2) measures, and assess the performance of the AOV's portfolio during the year just ended. ",MOTS,APPLICATION,"Calculate, Compare, Assess"
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,156,Calculate Jensen's measure (Jensen's alpha). Use it to assess the performance of the AOV's Portfolio during the year just ended. ,MOTS,APPLICATION,"Calculate, Use"
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,159,Distinguish between stock dividend and stock split by providing one relevant example. ,MOTS,ANALYSIS,Distinguish
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,161,"""Trading strategies used by investors of futures and forwards markets help to maintain market efficiency"". Based on the above statement, Differentiate between all THREE (3) main trading strategy used by futures and forward markets' investors.. ",MOTS,ANALYSIS,Differentiate
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,166,"“The efficient market hypothesis (EMH) states it is impossible to consistently outperform an efficient market and the only way an investor can possibly obtain higher returns is by purchasing riskier investments."" Justify the statement. ",HOS,EVALUATION,Justify
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,169,Determine the intrinsic value of KMK Corporation's common stock. ,MOTS,APPLICATION,Determine
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,170,"Suggest your recommendation on the investment of KMK Corporation's common stock, if the stock price is traded at $25 currently. ",HOS,SYNTHESIS,Suggest
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,173,Determine the Macaulay duration and estimate the bond price if the yield increases by 100 basis points. ,MOTS,APPLICATION,Determine
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,176,"""Instead of focusing only on investing in local market, some investors also invest in foreign market"". Justify above statement by providing FOUR (4) benefits of investing in foreign market. ",HOS,EVALUATION,Justify
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,178,Distinguish between stock dividend and stock split by providing one relevant example. ,MOTS,ANALYSIS,Distinguish
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,179,"Discuss in detail the Sharpe, Treynor, and Jensen measures of portfolio performance evaluation, by identifying the situations in which each measure is the most appropriate measure. ",MOTS,APPLICATION,Discuss
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,180,"""Investment strategies used by the investors of futures and forward markets help to maintain market efficiency"". Based on the above statement, differentiate THREE (3) main investment strategies used by futures and forward markets' investors. ",MOTS,ANALYSIS,Differentiate
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,184,"“Instead of focusing only on investing in local market, some investors also invest in foreign market”.  Justify above statement by providing FOUR (4) benefits of investing in foreign market. ",HOS,EVALUATION,Justify
FBF,CORPORATE GOVERNANCE,UBML3033,190,Audit committee is responsible to implement and support the monitoring function of the board of directors. Develop a list of best practices for audit committee meeting. ,HOS,SYNTHESIS,Develop
FBF,CORPORATE GOVERNANCE,UBML3033,191,Nomination committee plays a crucial role in ensuring the continuity of the board of directors into the future. Analyse the functions of nomination committee in the context of corporate governance. ,MOTS,ANALYSIS,Analyse
FBF,CORPORATE GOVERNANCE,UBML3033,193,Shareholder activism is an important governance mechanism because this is how minority shareholders exercise and enforce their rights. Comment on the effectiveness of shareholder activism. ,HOS,EVALUATION,Comment
FBF,CORPORATE GOVERNANCE,UBML3033,194,There are several corporate governance tools available for institutional shareholders activism. Differentiate shareholder resolution and proxy voting,MOTS,ANALYSIS,Differentiate
FBF,CORPORATE GOVERNANCE,UBML3033,195,Malaysian Code on Corporate Governance (2012) stipulates that there should  not be any domination of power by any individual in the board. Responsibilities of the CEO and the Chairperson must be clearly defined and separated in order to ensure a balance of power and authority. Evaluate the advantages and disadvantages of CEO duality.,HOS,EVALUATION,Evaluate
FBF,CORPORATE GOVERNANCE,UBML3033,199,"Internal control system is among the most prominent monitoring mechanisms in promoting effective corporate governance. Assuming you are the manager of purchasing department, provide TWELVE (12) recommendations on how to prevent staffs from making personal gains from their positions.",HOS,SYNTHESIS,Provide
FBF,CORPORATE GOVERNANCE,UBML3033,200,"One of the biggest challenges in corporate governance is to deal with manipulation of accounting profits. Propose NINE (9) suggestions to the Malaysian regulatory bodies on how to prevent manipulation of accounts. Your recommendations have to be new and must not overlap with the existing Malaysian laws, guidelines and systems. ",HOS,SYNTHESIS,Propose
FBF,CORPORATE GOVERNANCE,UBML3033,203,"Related party transaction is a transaction entered into by a PLC or its subsidiaries, which involved the interest of the related party. Justify the reasons for disclosure of related party transaction. ",HOS,EVALUATION,Justify
FBF,CORPORATE GOVERNANCE,UBML3033,204,Short term and long term incentives have their own merits in promoting corporate performance. Compare and contrast the problems associated with both short term and long term incentives. ,MOTS,ANALYSIS,"Compare,  Contrast"
FBF,CORPORATE GOVERNANCE,UBML3033,205,The Higgs Report (2003) is among the first report that discusses the importance of Senior Independent Non-Executive Director (Senior INED). Analyse the rationales of having Senior INED in a company. ,MOTS,ANALYSIS,Analyse
FBF,CORPORATE GOVERNANCE,UBML3033,206,Companies must take reasonable steps to ensure that their investors enjoy equal access to material information. Briefly describe SIX (6) corporate disclosure policies under Main Market Listing Requirements (MMLR). ,LOTS,KNOWLEDGE,Describe
FBF,CORPORATE GOVERNANCE,UBML3033,207,The scope of institutional shareholder activism includes attempts made to bring about changes in a company's behavior for adoption of good governance practices. Differentiate shareholder resolution and proxy voting as the two major tools for institutional shareholder to promote corporate governance. ,MOTS,ANALYSIS,Differentiate
FBF,CORPORATE GOVERNANCE,UBML3033,208,The independence of external auditors is extremely critical due to their roles in providing true and fair view on a company financial position. Develop THREE (3) safeguards to reduce the threats on external auditors' independence. ,HOS,SYNTHESIS,Develop
FBF,CORPORATE GOVERNANCE,UBML3033,210,There is always an appeal for institutional shareholders to assume an active role in corporate governance. Create a list of key recommendations for institutional shareholders activism based on Myners Report (1995).,HOS,SYNTHESIS,Create
FBF,CORPORATE GOVERNANCE,UBML3033,211,Malaysian Code on Corporate Governance (MCCG 2017) encourages Board of Directors to improve shareholders' participations in decision making. Provide recommendations that will lead to more constructive use of Annual General Meeting (AGM). ,HOS,SYNTHESIS,Provide
FBF,CORPORATE GOVERNANCE,UBML3033,212,Institutional shareholders do not always fare better than the minority shareholders in promoting shareholder activism. Assess the impediments of institutional shareholder activism. ,HOS,EVALUATION,Assess
FBF,CORPORATE GOVERNANCE,UBML3033,213,Criticize the issues in Principal – Agent Theory.,MOTS,ANALYSIS,Criticize
FBF,CORPORATE GOVERNANCE,UBML3033,215,"List FIVE (5) suggestions on how Malaysian public listed company director in Malaysia can perform  'Duty to use Reasonable Care, Skill & Diligence'. ",LOTS,KNOWLEDGE,List
FBF,CORPORATE GOVERNANCE,UBML3033,217,Suggest FIVE (5) actions that Public Mutual Berhad (PMB) can consider in championing the institutional shareholder activism. ,HOS,SYNTHESIS,Suggest
FBF,CORPORATE GOVERNANCE,UBML3033,218,Explain the criteria to be a substantial shareholder in Malaysia. Illustrate what and when a substantial shareholder of a listed company need to comply when he/she holds the directorship in it. ,HOS,EVALUATION,"Explain, Illustrate"
FBF,CORPORATE GOVERNANCE,UBML3033,220,Evaluate the characteristics of the board in a two-tier board structure. ,HOS,EVALUATION,Evaluate
